*Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Author
cl1,0.4397,0.5914,0.6295,0.9249,0.8357,"Chuan Cao, Ming Li"
cl2,0.4923,0.5914,0.6295,0.7721,0.5974,"Chuan Cao, Ming Li"
dr1,0.6013,0.6988,0.7251,0.9187,0.5536,"Jean-Louis Durrieu, Gael Richard, Bertrand David (GSMM)"
dr2,0.5951,0.6655,0.7079,0.874,0.4734,"Jean-Louis Durrieu, Gael Richard, Bertrand David (SIMM)"
hjc1,0.5318,0.7266,0.7529,0.3417,0.0179,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen (DP)"
hjc2,0.5175,0.5169,0.7000,0.3417,0.0179,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen (HMM)"
jjy,0.4969,0.7594,0.8025,0.3891,0.1941,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo"
kd,0.6822,0.8046,0.8188,0.9118,0.4778,Karin Dressler
mw,0.4364,0.6729,0.71,0.9999,0.9947,Morten Wendelboe
pc,0.515,0.5089,0.5337,0.7312,0.4348,Pablo Cancela
rr,0.6077,0.6862,0.7137,0.8881,0.5076,"Vishweshwara Rao,Preeti Rao"
toos,0.5356,0.8229,0.8575,0.9998,0.9942,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama"
