*Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Author
cl1,0.3450,0.4539,0.5094,0.9062,0.8486,"Chuan Cao, Ming Li"
cl2,0.3995,0.4539,0.5094,0.7282,0.6127,"Chuan Cao, Ming Li"
dr1,0.4555,0.5378,0.5809,0.8853,0.6709,"Jean-Louis Durrieu, Gael Richard, Bertrand David (GSMM)"
dr2,0.4478,0.5053,0.5753,0.8532,0.6028,"Jean-Louis Durrieu, Gael Richard, Bertrand David (SIMM)"
hjc1,0.3846,0.4866,0.5452,0.0860,0.0111,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen (DP)"
hjc2,0.3755,0.2145,0.4455,0.0860,0.0111,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen (HMM)"
jjy,0.4223,0.5853,0.6479,0.3909,0.2646,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo"
kd,0.5169,0.6249,0.6628,0.8639,0.6010,Karin Dressler
mw,0.3427,0.5306,0.5872,0.9999,0.9947,Morten Wendelboe
pc,0.4162,0.3738,0.4051,0.6762,0.4820,Pablo Cancela
rr,0.4340,0.5468,0.5876,0.9279,0.7576,"Vishweshwara Rao,Preeti Rao"
toos,0.4864,0.7489,0.7853,0.9998,0.9942,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama"
