*Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Author
HJ1,0.8342,0.8849,0.8916,0.9127,0.1511,"Chao-Ling Hsu, Jyh-Shing Roger Jang"
JJY1,0.7939,0.8959,0.9067,0.9646,0.3476,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo"
JJY2,0.791,0.8888,0.9003,0.9645,0.3473,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo"
SG1,0.8135,0.8774,0.9121,0.9267,0.2274,"Justin Salamon, Emilia Gomez"
TOOS1,0.7857,0.8541,0.8913,0.9542,0.273,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama"
